ID ,name ,category ,main_category ,currency ,deadline ,goal ,launched ,pledged ,state ,backers ,country ,usd_pledged
1000071625,Boco Tea,Food,Food,USD,2012-06-02 17:24:32,5000,2012-05-03 17:24:32,1781,failed,40,US,1781
1000072011,CMUK. Shoes: Take on Life Feet First.,Fashion,Fashion,USD,2013-12-30 07:06:11,20000,2013-11-25 07:06:11,34268,successful,624,US,34268
1000082254,Alice in Wonderland in G Minor,Theater,Theater,USD,2014-06-15 10:09:03,3500,2014-05-16 10:10:38,650,failed,12,US,650
1000087442,Mountain brew: A quest for alcohol sustainability,Drinks,Food,NOK,2015-02-25 19:17:33,500,2015-01-26 19:17:33,48,failed,3,NO,6.18000816
1000091520,The Book Zoo - A Mini-Comic,Comics,Comics,USD,2014-11-12 17:15:50,175,2014-10-23 17:15:50,701.66,successful,66,US,701.66
1000102741,Matt Cavenaugh & Jenny Powers make their 1st album! ,Music,Music,USD,2011-01-06 23:16:50,10000,2010-12-07 23:16:50,15827,successful,147,US,15827
1000103948,Superhero Teddy Bear,DIY,Crafts,GBP,2016-01-05 20:09:06,12000,2015-12-06 20:09:06,0,failed,0,GB,0
1000104688,Permaculture Skills,Webseries,Film & Video,CAD,2014-12-14 18:02:00,17757,2014-11-14 18:02:00,48905,successful,571,CA,43203.2511447
1000104953,Rebel Army Origins: The Heroic Story Of Major Gripes,Comics,Comics,GBP,2016-01-28 16:59:29,100,2015-12-29 16:59:29,112.38,successful,27,GB,167.7003057894
1000115172,Daily Brew Coffee,Food Trucks,Food,GBP,2015-03-31 18:06:32,3500,2015-03-01 18:06:32,21,failed,1,GB,32.41526106
1000117861,Ledr workbook: one tough journal!,Product Design,Design,USD,2016-10-08 02:00:00,1000,2016-09-07 13:14:26,47266,successful,549,US,11253
1000120151,Feather Cast Furled Fly Fishing Leaders,Product Design,Design,AUD,2015-08-22 03:09:43,2000,2015-07-23 03:09:43,2000,successful,18,AU,1473.6189
1000120287,BB130A,Public Art,Art,USD,2013-03-24 00:07:28,25000,2013-02-12 01:07:28,1395,failed,30,US,1395
100012079,Chris Eger Band - New Nashville Record!,Music,Music,USD,2014-08-13 08:59:00,12000,2014-07-14 22:35:51,13260,successful,92,US,13260
1000129669,Squatch Watchers,Webseries,Film & Video,USD,2013-08-23 21:40:13,10000,2013-07-24 21:40:13,1373.37,failed,54,US,1373.37
1000131947,Arrows & Sound Debut Album,Indie Rock,Music,USD,2012-05-19 01:04:31,4000,2012-04-19 01:04:31,8641.34,successful,157,US,8641.34
1000132945,Zen in America: a film on Zen Buddhism in North America,Documentary,Film & Video,USD,2013-10-21 23:00:54,10000,2013-09-21 23:00:54,15663,successful,213,US,15663
1000134913,Galaxy: Winnie and Friends,Illustration,Art,USD,2016-01-27 21:47:29,3000,2015-12-23 21:47:29,17,failed,2,US,17
1000146991,Help Scott Reynolds Make a New Record!,Indie Rock,Music,USD,2012-09-02 18:43:16,15000,2012-08-03 18:43:16,17499.99,successful,277,US,17499.99
1000160286,"THE RETURN book project",Photography,Photography,USD,2013-12-13 00:34:20,15000,2013-11-13 00:34:20,23907,successful,232,US,23907
1000171141,""The Please, Please Me: Studio Premiere"",Pop,Music,USD,2012-09-01 23:36:00,10000,2012-07-15 03:27:33,12656,successful,181,US,12656
1000182258,WE ARE ONE: STREET MUSIC OF NEW ORLEANS,Documentary,Film & Video,USD,2013-10-01 06:00:00,2500,2013-08-27 20:17:27,0,failed,0,US,0
1000183112,Hot Chicken Takes Over.,Restaurants,Food,USD,2014-10-16 05:59:00,40000,2014-09-16 02:31:08,63401,successful,855,US,63401
1000184224,Star and the Snowman,Narrative Film,Film & Video,USD,2013-02-23 06:04:05,8000,2013-01-24 06:04:05,9401,successful,154,US,9401
1000190427,Seas of Iron,Tabletop Games,Games,USD,2013-07-19 03:16:33,3000,2013-06-19 03:16:33,8105,successful,218,US,8105
1000197321,(In)visible Empire Tees,Public Art,Art,USD,2016-01-02 00:00:00,1200,2015-11-22 22:47:44,90,failed,4,US,90
1000201265,I'LL SEE YOU IN MY DREAMS - narrative feature film,Narrative Film,Film & Video,USD,2014-02-05 00:57:14,60000,2014-01-11 00:57:14,61365.16,successful,632,US,61365.16
1000202062,SkateFrames-Photo frame made from recycled skateboard wood,Art,Art,USD,2015-05-08 02:53:18,7500,2015-04-08 02:53:18,3,failed,3,US,3
1000212914,A Teacher's Travels in China,Photography,Photography,USD,2012-05-13 23:34:56,4000,2012-04-18 23:34:56,4866.17,successful,71,US,4866.17
1000216800,Mothers Into Living Fit Yoga DVD for Moms and Babies,Family,Film & Video,USD,2014-06-19 17:18:29,11000,2014-05-20 17:18:29,11055,successful,51,US,11055
1000217634,Mobile barbecue & catering trailer,Food Trucks,Food,USD,2014-10-23 20:29:00,13750,2014-09-24 03:35:33,1,failed,1,US,1
1000226576,Following the Call - A Novel,Fiction,Publishing,USD,2016-02-01 08:06:07,13500,2016-01-02 08:06:07,0,failed,0,US,0
1000227361,UNDERWATER,Film & Video,Film & Video,USD,2012-03-26 06:00:00,9500,2012-02-13 19:00:37,9660,successful,121,US,9660
1000230071,The Fanalyzers: Views from the Stands,Webseries,Film & Video,USD,2013-10-18 20:20:00,60000,2013-09-18 20:20:00,635,failed,5,US,635
1000232288,Empires at Sea,Tabletop Games,Games,USD,2015-06-23 12:47:52,25000,2015-05-24 12:47:52,37199,successful,448,US,37199
1000233415,Teachers In The Sky,Documentary,Film & Video,USD,2016-06-18 07:00:00,250000,2016-04-19 23:53:22,65,failed,2,US,65
1000234595,Fashion removeable decoration jewel accessory hells shoes,Accessories,Fashion,EUR,2016-10-13 11:59:57,12000,2016-09-13 11:59:57,137,failed,2,IT,0
1000235465,TO RUSSIA WITH LOVE AND SIMON,Art,Art,USD,2016-06-22 18:10:04,5000,2016-05-23 18:10:04,587,failed,8,US,587
1000235643,HIIT Bottle™,Drinks,Food,USD,2015-04-27 19:33:08,15000,2015-03-13 18:33:08,124998,successful,2784,US,124998
